Item No.,Item,DESCRIPTION,,Tag No,Material Master,Height,Core/Pair Number,Composition,MR No.,UNIT,Total Q'ty
,,Specification,Size,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,,Data Network System,,,,,,,,,
1.1,,Data Cabinet,,TEMP-DATA-001,FI31CB00ZZ-0000001,,,,,SET,8
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- 48C FOPP x 2EA,,,,,,,,,
,,- Firewall with IPS Function,,,,,,,,,
,,- Access Switch (48 port),,,,,,,,,
,,"- SFP modules, 1G",,,,,,,,,
,,- UTP Patch Panel,,,,,,,,,
,,- Voice Gate Way,,,,,,,,,
,,- Terminal Blocks,,,,,,,,,
,,- Grounding Bus Bar,,,,,,,,,
,,- Cable Trunk,,,,,,,,,
,,- ATS for Redundant Input Power,,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
1.2,,Data/Voice outlet w/ associated dual outlet power socket,,,,,,,,,
,,"- 4-port outlet configuration and mounted in standard 4""x4"" electrical box(dual outlet power socket)",,TEMP-DATA-002,FI31CD02ZZ-0000001,,,,,EA,325
,,,,,,,,,,,
1.3,,Wifi Access point,,TEMP-DATA-003,FI31CE03ZZ-0000001,,,,,EA,41
,,- Indoor,,,,,,,,,
,,,,,,,,,,,
1.4,,Wifi Access point,,TEMP-DATA-004,FI31CE03ZZ-0000001,,,,,EA,14
,,"- Explosion proof outdoor (ATEX Zone 1, IIA T3)",,,,,,,,,
,,,,,,,,,,,
2,,PAGA System,,,,,,,,,
2.1,,PAGA Central Cabinet,,TEMP-DATA-005,FI32DA00ZZ-0000001,,,,,SET,1
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
2.2,,PAGA MDF Cabinet,,TEMP-DATA-006,FI32DA00ZZ-0000001,,,,,SET,2
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- Amplifier 300W x n (As per Speaker capacity + 20% spare),,,,,,,,,
,,- N+1 configuration,,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
2.3,,PAGA Cabinet,,TEMP-DATA-007,FI32DB00ZZ-0000001,,,,,SET,5
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- Amplifier 300W x n (As per Speaker capacity + 20% spare),,,,,,,,,
,,- N+1 configuration,,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
2.3,,PAGA Cabinet,,TEMP-DATA-008,FI32DB00ZZ-0000001,,,,,SET,2
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- Amplifier 300W x n (As per Speaker capacity + 20% spare),,,,,,,,,
,,- N+1 configuration,,,,,,,,,
,,- Modular type UPS (mounted inside PAGA Cabinet),"Less than 10kVA x 2sets (A, B)",,,,,,,,
,,- Backup time,1-hour,,,,,,,,
,,- Battery,Ni-Cd,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
2.4,,Loudspeaker (6W),,TEMP-DATA-009,FI32DG00AA-0000001,,,,,EA,126
,,- Wall structure mounted,,,,,,,,,
,,,,,,,,,,,
2.5,,Loudspeaker (6W),,TEMP-DATA-010,FI32DG00AA-0000001,,,,,EA,7
,,"- Wall structure mounted (Explosion proof, ATEX Zone 1, IIA T3)",,,,,,,,,
,,,,,,,,,,,
2.6,,Loudspeaker (25W),,TEMP-DATA-011,FI32DG00AA-0000001,,,,,EA,355
,,- Wall structure mounted,,,,,,,,,
,,"- Explosion proof outdoor (ATEX Zone 1, IIA T3)",,,,,,,,,
,,,,,,,,,,,
2.7,,Ceiling speaker (1W),,TEMP-DATA-012,FI32DE00ZZ-0000001,,,,,EA,100
,,- Indoor,,,,,,,,,
,,,,,,,,,,,
2.8,,PAGA ACU(Access Control Unit),,TEMP-DATA-013,FI32DD00ZZ-0000001,,,,,EA,5
,,,,,,,,,,,
2.9,,Beacon,,TEMP-DATA-014,FI32DN00AD-0000001,,,,,EA,49
,,- Red & Yellow,,,,,,,,,
,,"- Explosion proof outdoor (ATEX Zone 1, IIA T3)",,,,,,,,,
,,,,,,,,,,,
2.1,,Mounting Mast (Pole),,TEMP-DATA-015,FI32DO00ZZ-0000001,,,,,EA,182
,,- 3 meters,,,,,,,,,
,,,,,,,,,,,
2.11,,PMB (PAGA Marshalling Junction box),,TEMP-DATA-016,FI32DJ00AD-0000001,,,,,EA,8
,,- Explosion proof outdoor,,,,,,,,,
,,"- ATEX Zone 1, IIA T3",,,,,,,,,
,,,,,,,,,,,
2.12,,FJB (PAGA Flahing beacon Junction box),,TEMP-DATA-017,FI32DJ00AD-0000001,,,,,EA,4
,,- Explosion proof outdoor,,,,,,,,,
,,"- ATEX Zone 1, IIA T3",,,,,,,,,
,,,,,,,,,,,
3,,Radio System,,,,,,,,,
3.1,,PMR/MARINE VHF Cabinet,,TEMP-DATA-018,FI36GA00ZZ-0000001,,,,,SET,2
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- Base Station Transceiver,,,,,,,,,
,,- Server,,,,,,,,,
,,- SII Gateway switch,,,,,,,,,
,,- 48C FOPP,,,,,,,,,
,,- Access Switch,,,,,,,,,
,,- UTP Patch Panel,,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
3.2,,PMR(Private Marine Radio) desktop console, ,TEMP-DATA-019,FI36GC00ZZ-0000001,,,,,EA,2
,,,,,,,,,,,
3.3,,Fixed PMR Radio,,TEMP-DATA-020,FI36GB00ZZ-0000001,,,,,EA,5
,,,,,,,,,,,
3.4,,VHF Marine RCU(Remote Control Unit),,TEMP-DATA-021,FI36GM00ZZ-0000001,,,,,EA,3
,,,,,,,,,,,
3.5,,Omni-directional  Antenna,,TEMP-DATA-022,FI36GE11ZZ-0000001,,,,,EA,5
,,- Outdoor,,,,,,,,,
,,- Building roof mounting,,,,,,,,,
,,,,,,,,,,,
3.6,,Ceiling Omni-antenna,,TEMP-DATA-023,FI36GE11ZZ-0000001,,,,,EA,14
,,- Indoor,,,,,,,,,
,,,,,,,,,,,
3.7,,Telecom Tower (Radio antenna),,TEMP-DATA-024,FI36GI00ZZ-0000001,,,,,EA,1
,,- Air Craft Warning Light (LED twin),,,,,,,,,
,,- 40 meters,,,,,,,,,
,,- PMR(Private Marine Radio) Antenna,,,,,,,,,
,,- VHF(Very High Frequency) Marine Antenna,,,,,,,,,
,,,,,,,,,,,
3.8,,"Hand Portable Radio (IS, ATEX Zone 1, IIA T3)",,TEMP-DATA-025,FI36GH00ZZ-0000001,,,,,EA,53
,,,,,,,,,,,
3.9,,Multiway Charger for Radio,,TEMP-DATA-026,FI36GJ00ZZ-0000001,,,,,EA,5
,,,,,,,,,,,
3.1,,Single Charger for Radio,,TEMP-DATA-027,FI36GJ00ZZ-0000001,,,,,EA,5
,,,,,,,,,,,
3.11,,Headset Radio,,TEMP-DATA-028,FI36GB00ZZ-0000001,,,,,EA,6
,,- Fixed desktop,,,,,,,,,
,,,,,,,,,,,
3.12,,"Headset Radio (IS, ATEX Zone 1, IIA T3)",,TEMP-DATA-029,FI36GB00ZZ-0000001,,,,,EA,27
,,- Fixed desktop,,,,,,,,,
,,,,,,,,,,,
3.13,,"Vehicle Radio (IS, ATEX Zone 1, IIA T3)",,TEMP-DATA-030,FI36GH00ZZ-0000001,,,,,EA,6
,,,,,,,,,,,
3.14,,Workstation,,TEMP-DATA-031,FI33EE00ZZ-0000001,,,,,SET,2
,,- Rack mounted type,,,,,,,,,
,,- 42 inch monitor,,,,,,,,,
,,,,,,,,,,,
3.15,,Radio Frequency License,,TEMP-DATA-032,FI36GK00ZZ-0000001,,,,,LOT,1
,,,,,,,,,,,
4,,Mobile 4G LTE System,,,,,,,,,
4.1,,4G LTE Cabinet,,TEMP-DATA-033,FI33EA00ZZ-0000001,,,,,SET,1
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
4.2,,"Mobile (ATEX Zone 1, IIA T3)",,TEMP-DATA-034,,,,,,EA,27
,,,,,,,,,,,
4.3,,"Smart Tablet (ATEX Zone 1, IIA T3)",,TEMP-DATA-035,,,,,,EA,29
,,,,,,,,,,,
5,,CCTV System,,,,,,,,,
5.1,,CCTV Cabinet,,TEMP-DATA-036,FF11ZZ00ZZ-0000001,,,,,SET,3
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,"- NVR, Intelligent Video Surveillance Server",,,,,,,,,
,,"- VMS, Dell Server",,,,,,,,,
,,- Access Switch,,,,,,,,,
,,- UTP Patch Panel,,,,,,,,,
,,- 48C FOPP for Uplink,,,,,,,,,
,,- 48C FOPP for Camera Connection,,,,,,,,,
,,- Media Converters,,,,,,,,,
,,- KVM Switch,,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
5.2,,Dome camera (security),for BLDG,TEMP-DATA-037,FF16ZZ00ZZ-0000001,,,,,EA,22
,,- Indoor,,,,,,,,,
,,,,,,,,,,,
5.3,,Dome camera (security),for BLDG,TEMP-DATA-038,FF18ZZ00AB-0000001,,,,,EA,81
,,- Weahter proof outdoor,,,,,,,,,
,,,,,,,,,,,
5.4,,Dome camera (security),for BLDG,TEMP-DATA-039,FF18ZZ00AD-0000001,,,,,EA,17
,,"- Explosion proof outdoor (ATEX Zone 1, IIA T3)",,,,,,,,,
,,,,,,,,,,,
5.5,,PTZ CCTV camera,for PROCESS & UTILITY Area,TEMP-DATA-040,FF19ZZ00AD-0000001,,,,,EA,35
,,"- Explosion proof outdoor (ATEX Zone 1, IIA T3)",,,,,,,,,
,,"- SS316L, IK10 protection",,,,,,,,,
,,- Wash and Wipe feature (10 liters wash tank SS316L),,,,,,,,,
,,- Water hose,,,,,,,,,
,,- Spray nozzle,,,,,,,,,
,,,,,,,,,,,
5.6,,Thermal CCTV camera,for PROCESS & UTILITY Area,TEMP-DATA-041,FF23ZZ00ZZ-0000001,,,,,EA,3
,,"- Explosion proof outdoor (ATEX Zone 1, IIA T3)",,,,,,,,,
,,- Fixed type,,,,,,,,,
,,"- SS316L, IK10 protection",,,,,,,,,
,,- Wash and Wipe feature (10 liters wash tank SS316L),,,,,,,,,
,,- Water hose,,,,,,,,,
,,- Spray nozzle,,,,,,,,,
,,,,,,,,,,,
5.7,,Tilt-Over Lattice Tower (CCTV camera),,TEMP-DATA-042,F22ZZ00ZZ-0000001,,,,,EA,37
,,- Self-supporting,,,,,,,,,
,,- 6 meters,,,,,,,,,
,,,,,,,,,,,
5.8,,PTZ Controller Keyboard,,TEMP-DATA-043,FF14ZZ00ZZ-0000001,,,,,EA,2
,,,,,,,,,,,
5.9,,Process CCTV Workstation,,TEMP-DATA-044,FF14ZZ00ZZ-0000001,,,,,SET,2
,,,,,,,,,,,
5.1,,Security CCTV Workstation,,TEMP-DATA-045,FF14ZZ00ZZ-0000001,,,,,SET,2
,,,,,,,,,,,
5.11,,CCTV 70 inch LED display,,TEMP-DATA-046,FF14ZZ00ZZ-0000001,,,,,EA,5
,,- Wall mounted,,,,,,,,,
,,,,,,,,,,,
6,,Telephone & Structed System,,,,,,,,,
6.1,,SCS(Structural Cabling System) Cabinet,,TEMP-DATA-047,FI31CC00ZZ-0000001,,,,,SET,3
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
6.2,,Telephony Cabinet,,TEMP-DATA-048,FI33EA00ZZ-0000001,,,,,SET,1
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- PABX,,,,,,,,,
,,- Analog Gateway,,,,,,,,,
,,- MDF,,,,,,,,,
,,- UTP Patch Panel,,,,,,,,,
,,- Access Switch,,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
6.3,,VSAT(Very Small Aperture Terminal) Cabinet,,TEMP-DATA-049,,,,,,SET,1
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
6.4,,IP Phone,,TEMP-DATA-050,FI33EF11ZZ-0000001,,,,,EA,130
,,-Indoor,,,,,,,,,
,,,,,,,,,,,
6.5,,Reception phone with cordless headset,,TEMP-DATA-051,FI36GD00ZZ-0000001,,,,,EA,2
,,,,,,,,,,,
6.6,,Hotline Telephone,,TEMP-DATA-052,FI33EC00ZZ-0000001,,,,,EA,3
,,,,,,,,,,,
6.7,,VSAT(Very Small Aperture Terminal) Telephone,,TEMP-DATA-053,,,,,,EA,3
,,,,,,,,,,,
6.8,,Telephone station with Acoustic hood,,TEMP-DATA-054,FI33EO00ZZ-0000001,,,,,EA,34
,,"- Explosion proof outdoor (ATEX Zone 1, IIA T3)",,,,,,,,,
,,- Sounder & Beacon,,,,,,,,,
,,,,,,,,,,,
7,,Fiber Optic Network System,,,,,,,,,
7.1,,FOPP Cabinet,,TEMP-DATA-055,FL53ZZ00AA-0000001,,,,,SET,1
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
7.2,,FOC Marshalling Cabinet,,TEMP-DATA-056,,,,,,SET,1
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
7.3,,FOJB (Fiber optic Junction box),,TEMP-DATA-057,FF19ZZ00AD-0000001,,,,,EA,16
,,"- Explosion proof outdoor (ATEX Zone 1, IIA T3) as per IEC 60079-28",,,,,,,,,
,,- Min. IP65,,,,,,,,,
,,,,,,,,,,,
8,,GPS System,,,,,,,,,
8.1,,Primary GPS Cabinet,,TEMP-DATA-058,,,,,,SET,1
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- Time Server and Antenna,,,,,,,,,
,,- Digital Clock,,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
8.2,,GPS Antenna,,TEMP-DATA-059,FI36GE11ZZ-0000001,,,,,EA,2
,,,,,,,,,,,
9,,Meteorological System,,,,,,,,,
9.1,,Meteorological System Cabinet,,TEMP-DATA-060,,,,,,SET,1
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- Server,,,,,,,,,
,,- Access Switch,,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
9.2,,Meteo System Workstation,,TEMP-DATA-061,,,,,,SET,4
,,,,,,,,,,,
9.3,,Telecom Mast (Weather monitoring),,TEMP-DATA-062,FI36GI00ZZ-0000001,,,,,EA,1
,,- Air Craft Warning Light (LED twin),,,,,,,,,
,,- 20 meters,,,,,,,,,
,,,,,,,,,,,
9.4,,Combined Wind Speed & Direction Sensor,,TEMP-DATA-063,,,,,,EA,1
,,,,,,,,,,,
9.5,,Precipitation Sensor,,TEMP-DATA-064,,,,,,EA,1
,,,,,,,,,,,
,,"Combined Temperature, Barometric Pressure And Humidity Sensor",,,,,,,,,
,,,,,,,,,,,
,,Junction Box,,,,,,,,,
,,"- Explosion proof outdoor (ATEX Zone 1, IIA T3)",,,,,,,,,
,,- Min. IP 65,,,,,,,,,
,,- Transdures / FO Converter,,,,,,,,,
,,- 230VAC UPS Power,,,,,,,,,
,,,,,,,,,,,
10,,ACS(Access Control System) & ePOB,,,,,,,,,
10.1,,ACS & ePOB Cabinet,,TEMP-DATA-065,FR21AA00ZZ-0000001,,,,,SET,1
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- ACS Server,,,,,,,,,
,,- ACS Management Software,,,,,,,,,
,,- ACS Controller,,,,,,,,,
,,- 48C FOPP,,,,,,,,,
,,- Access Switch,,,,,,,,,
,,- UTP Patch Panel,,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
10.2,,ACS Cabinet,,TEMP-DATA-066,FR21AB00ZZ-0000001,,,,,SET,6
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- ACS Controller,,,,,,,,,
,,- 48C FOPP,,,,,,,,,
,,- Access Switch,,,,,,,,,
,,- UTP Patch Panel,,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
10.3,,Card reader,,TEMP-DATA-067,FR21AE00ZZ-0000001,,,,,EA,73
,,- Indoor,,,,,,,,,
,,,,,,,,,,,
10.4,,Card reader,,TEMP-DATA-068,FR21AF00ZZ-0000001,,,,,EA,33
,,- Weather proof outdoor,,,,,,,,,
,,,,,,,,,,,
10.5,,Card reader,,TEMP-DATA-069,FR21AF00ZZ-0000001,,,,,EA,12
,,"- Explosion proof outdoor (ATEX Zone 1, IIA T3)",,,,,,,,,
,,,,,,,,,,,
10.6,,Card reader with Keypad,,TEMP-DATA-070,FR21AK00ZZ-0000001,,,,,EA,35
,,- Indoor,,,,,,,,,
,,,,,,,,,,,
10.7,,Card reader with Keyboard,,TEMP-DATA-071,FR21AE00ZZ-0000001,,,,,EA,1
,,- Outdoor,,,,,,,,,
,,,,,,,,,,,
10.8,,Door status contact,,TEMP-DATA-072,FR21AI00ZZ-0000001,,,,,EA,165
,,,,,,,,,,,
10.9,,Electro magnetic lock,,TEMP-DATA-073,FR21AH00ZZ-0000001,,,,,EA,112
,,,,,,,,,,,
10.1,,Break glass unit,,TEMP-DATA-074,FR21AK00ZZ-0000001,,,,,EA,97
,,,,,,,,,,,
10.11,,ACS Intercom,,TEMP-DATA-075,,,,,,EA,5
,,,,,,,,,,,
10.12,,ACS & ePOB Workstation,,TEMP-DATA-076,FR21AD00ZZ-0000001,,,,,SET,4
,,,,,,,,,,,
10.13,,"ACS & ePOB 42"" display",,TEMP-DATA-077,FR21AD00ZZ-0000001,,,,,EA,4
,,- Wall mounted,,,,,,,,,
,,,,,,,,,,,
10.14,,Horizontal Push Bar,,TEMP-DATA-078,FR21AJ00ZZ-0000001,,,,,EA,14
,,,,,,,,,,,
10.15,,IN/OUT POB Reader,,TEMP-DATA-079,,,,,,EA,2
,,"- Explosion proof outdoor (ATEX Zone 1, IIA T3)",,,,,,,,,
,,,,,,,,,,,
10.16,,OCU(Override Control Unit),,TEMP-DATA-080,,,,,,EA,2
,,"- Explosion proof outdoor (ATEX Zone 1, IIA T3)",,,,,,,,,
,,,,,,,,,,,
11,,Entertainment System,,,,,,,,,
11.1,,Entertainment Cabinet,,TEMP-DATA-081,,,,,,SET,2
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- Head End,,,,,,,,,
,,- 48P Entertainment switch,,,,,,,,,
,,"- Controller, IT set-top box",,,,,,,,,
,,- TVRO SAT(Television Receive-Only Satellite),,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
11.2,,Entertainment screen,,TEMP-DATA-082,,,,,,EA,13
,,- 42 inch 4K UHD SMART TV,,,,,,,,,
,,,,,,,,,,,
11.3,,Entertainment display,,TEMP-DATA-083,,,,,,EA,2
,,- 55 inch,,,,,,,,,
,,,,,,,,,,,
11.4,,TVRO SAT (Television Receive-Only Satellite),,TEMP-DATA-084,,,,,,SET,3
,,,,,,,,,,,
12,,Security System,,,,,,,,,
12.1,,CCTV System,,,,,,,,,
12.1.1,,Security CCTV camera,,TEMP-DATA-085,FF18ZZ00AB-0000001,,,,,EA,103
,,- Fixed type,,,,,,,,,
,,- Weather proof outdoor,,,,,,,,,
,,"- Auto/Manual focus and zoom,  0.05lux light level",,,,,,,,,
,,- Junction Box,,,,,,,,,
,,- Wash and Wipe feature (10 liters wash tank SS316L),,,,,,,,,
,,- Water hose,,,,,,,,,
,,- Spray nozzle,,,,,,,,,
,,,,,,,,,,,
12.1.2,,Security PTZ CCTV camera,,TEMP-DATA-086,FF19ZZ00AB-0000001,,,,,EA,33
,,- Long range,,,,,,,,,
,,- Weather proof,,,,,,,,,
,,"- Auto focus and zoom, 0.05lux light level",,,,,,,,,
,,- Junction Box,,,,,,,,,
,,- Wash and Wipe feature (10 liters wash tank SS316L),,,,,,,,,
,,- Water hose,,,,,,,,,
,,- Spray nozzle,,,,,,,,,
,,,,,,,,,,,
12.1.3,,Tilt-Over Lattice Tower (CCTV camera),,TEMP-DATA-087,F22ZZ00ZZ-0000001,,,,,EA,111
,,- Self-supporting,,,,,,,,,
,,- 6 meters,,,,,,,,,
,,,,,,,,,,,
12.1.4,,Tilt-Over Lattice Tower (PTZ CCTV camera),,TEMP-DATA-088,F22ZZ00ZZ-0000001,,,,,EA,20
,,- Self-supporting,,,,,,,,,
,,- 10 meters,,,,,,,,,
,,,,,,,,,,,
12.1.5,,FEC(Field Equipment Cabinet),,TEMP-DATA-089,FL51ZZ00AA-0000001,,,,,SET,10
,,,,,,,,,,,
12.2,,ACS(Access Control System),,,,,,,,,
12.2.1,,Card reader,,TEMP-DATA-090,FR21AE00ZZ-0000001,,,,,EA,27
,,- Weather proof outdoor,,,,,,,,,
,,,,,,,,,,,
12.2.2,,ACS Intercom,,TEMP-DATA-091,FI32DL00ZZ-0000001,,,,,EA,25
,,- Weather proof outdoor,,,,,,,,,
,,,,,,,,,,,
12.2.3,,Turnstile,,TEMP-DATA-092,FR21AL00ZZ-0000001,,,,,EA,4
,,,,,,,,,,,
12.2.4,,Dome camera (Turnstile),,TEMP-DATA-093,FR21AL00ZZ-0000001,,,,,EA,8
,,- Weather proof outdoor,,,,,,,,,
,,- Fixed type,,,,,,,,,
,,,,,,,,,,,
12.2.5,,Vehicle Arm Barrier 4m with ANPR camera with accessories,,TEMP-DATA-094,FR21AN00ZZ-0000001,,,,,SET,4
,,,,,,,,,,,
12.2.6,,"Sliding gate 20m (Motorized type, push button with accessories)",,TEMP-DATA-095,FI37HB01ZZ-0000001,,,,,SET,1
,,,,,,,,,,,
12.2.7,,X-Ray scanner and Metal detection archway,,TEMP-DATA-096,,,,,,SET,1
,,,,,,,,,,,
12.3,,Perimeter Intrusion Detection System,,,,,,,,EA,
12.3.1,,PIDS System Cabinet,,TEMP-DATA-97,FR22BA00ZZ-0000001,,,,,SET,1
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
12.3.2,,Fiber Optic Sensing Cable (24C),,TEMP-DATA-98,,,,,,EA,9799.4
,,"- Single-armor, single-jacket fiber optic sensor/lead cable, 24 fibers, recommended for buried applications",,,,,,,,,
12.3.3,,IR Sensor (Weather proof),,TEMP-DATA-99,FR22BB00ZZ-0000001,,,,,EA,8
12.3.4,,PIDS Workstation,,TEMP-DATA-100,FR22BB00ZZ-0000001,,,,,SET,2
,,,,,,,,,,,
12.4,,Anti Intrusion Detection System (OIL/GAS Pipe Line),,,,,,,,EA,
,,"- Single-armor, single-jacket fiber optic sensor/lead cable, 24 fibers, recommended for buried applications",,,,,,,,,
12.4.1,,Fiber Optic Sensing Cable (48C),BVS to CPF (2 x FOC),TEMP-DATA-101,FR22BD00ZZ-0000001,,,,,M,10910
12.4.2,,Fiber Optic Sensing Cable (48C),CPF to Sangachai Terminal,TEMP-DATA-102,FR22BD00ZZ-0000001,,,,,M,6186
12.4.3,,Fiber Optic Sensing Cable (48C),CPF to SBQ,TEMP-DATA-103,FR22BD00ZZ-0000001,,,,,M,3176
12.4.4,,Fiber Optic Sensing Cable (48C),CPF to Sangachai SCP,TEMP-DATA-104,FR22BD00ZZ-0000001,,,,,M,5046
,,,,,,,,,,,
13,,Video Conference System,,,,,,,,,
13.1,,Video conference system (Microphone),,TEMP-DATA-105,FI33EG00ZZ-0000001,,,,,EA,10
,,,,,,,,,,,
13.2,,Video Projector,,TEMP-DATA-106,FI33EG00ZZ-0000001,,,,,EA,2
,,,,,,,,,,,
13.3,,Video conference screen,,TEMP-DATA-107,FI33EG00ZZ-0000001,,,,,EA,10
,,- 55 inch display,,,,,,,,,
,,,,,,,,,,,
13.4,,IP STB,,TEMP-DATA-108,,,,,,EA,2
,,,,,,,,,,,
13.5,,EVR(Emer. Voice Recorder) Microphone,,TEMP-DATA-109,,,,,,EA,12
,,,,,,,,,,,
14,,Other System,,,,,,,,,
14.1,,TSAS(Telecom Supervisory Alarm System) Cabinet,,TEMP-DATA-110,,,,,,SET,1
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,,,,,,,,,,
,,Spare Cabinet,,,,,,,,,
14.2,,- 800(W) x 800(D) x 2100(H),,TEMP-DATA-111,,,,,,,4
14.3,,- 800(W) x 1000(D) x 2100(H) for Server,,TEMP-DATA-112,,,,,,,1
,,,,,,,,,,,
14.4,,Flare Monitoring Workstation,,TEMP-DATA-113,FF23ZZ00ZZ-0000001,,,,,SET,1
,,,,,,,,,,,
14.5,,Flare Monitoring display,,TEMP-DATA-114,FF23ZZ00ZZ-0000001,,,,,EA,1
,,,,,,,,,,,
14.6,,TSAS(Telecom Supervisory Alarm System) Workstation,,TEMP-DATA-115,,,,,,SET,1
